Zeitpunkt,Wochentag,Hinflug_Günstigster_Markt,Hinflug_Emirates,Hinflug_Qatar,HinRück_Günstigster_Markt,HinRück_Emirates,HinRück_Qatar
2026-05-29 20:27:19,Friday,954 €,954 €,996 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-05-29 20:45:57,Friday,954 €,954 €,996 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-05-30 05:41:39,Saturday,954 €,954 €,996 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-05-30 15:59:04,Saturday,954 €,954 €,996 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-05-31 06:10:38,Sunday,954 €,954 €,996 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-05-31 16:00:32,Sunday,954 €,954 €,996 €,API-Fehler,API-Fehler,API-Fehler
2026-06-01 06:46:14,Monday,954 €,954 €,996 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-01 19:53:00,Monday,954 €,954 €,996 €,API-Fehler,API-Fehler,API-Fehler
2026-06-02 06:28:22,Tuesday,954 €,954 €,996 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-02 18:32:43,Tuesday,954 €,954 €,996 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-03 06:44:45,Wednesday,954 €,954 €,996 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-03 18:40:18,Wednesday,954 €,954 €,996 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-04 06:28:46,Thursday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-04 17:38:57,Thursday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-05 06:13:39,Friday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-05 17:08:25,Friday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-06 05:47:16,Saturday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-06 16:01:51,Saturday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-07 06:14:41,Sunday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-07 16:06:45,Sunday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-08 06:28:52,Monday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-08 17:43:43,Monday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-09 06:01:19,Tuesday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-09 17:18:11,Tuesday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-10 06:15:07,Wednesday,954 €,954 €,997 €,API-Fehler,API-Fehler,API-Fehler
2026-06-10 17:51:45,Wednesday,954 €,954 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-11 06:41:08,Thursday,API-Fehler,API-Fehler,API-Fehler,API-Fehler,API-Fehler,API-Fehler
2026-06-11 18:05:02,Thursday,941 €,941 €,997 €,1575 €,1575 €,Kein Flug (max. 1 Stopp)
2026-06-12 06:25:14,Friday,942 €,942 €,997 €,1577 €,1577 €,Kein Flug (max. 1 Stopp)
2026-06-12 17:31:34,Friday,942 €,942 €,997 €,1577 €,1577 €,Kein Flug (max. 1 Stopp)
